time,reference,position,measured_distance,error,velocity_control
0,-6,115,-6,0,0,
0.02,-7,115,-5,0,0,
0.04,-10,115,-6,0,0,
0.06,-9,115,-3,0,0,
0.08,-14,115,-6,0,0,
0.1,-15,114.99,-5,0,0,
0.12,-19,114.97,-7,0,0,
0.14,-20,114.94,-6,0,0,
0.16,-22,114.89,-6,0,0,
0.18,-25,114.68,-7,0,0,
0.2,-27,114.53,-7,0,0,
0.22,-29,114.34,-7,0,0,
0.24,-32,113.7,-8,0,0,
0.26,-35,113.35,-9,0,0,
0.28,-37,112.95,-9,0,0,
0.3,-39,112,-9,0,0,
0.32,-43,111.26,-11,0,0,
0.34,-45,110.65,-11,0,0,
0.36,-49,109.3,-13,0,0,
0.38,-50,108.56,-15,0,0,
0.4,-50,107.5,-18,0,0,
0.42,-50,105.77,-19,0,0,
0.44,-50,104.84,-19,0,0,
0.46,-50,103.86,-22,0,0,
0.48,-50,101.45,-22,0,0,
0.5,-50,100.38,-27,0,0,
0.52,-50,99.292,-26,0,0,
0.54,-50,96.777,-27,0,0,
0.56,-50,95.731,-30,0,0,
0.58,-50,94.719,-31,0,0,
0.6,-50,92.811,-34,0,0,
0.62,-50,91.635,-33,0,0,
0.64,-50,90.803,-34,0,0,
0.66,-50,89.268,-36,0,0,
0.68,-50,88.561,-39,0,0,
0.7,-50,87.679,-38,0,0,
0.72,-50,86.478,-39,0,0,
0.74,-50,85.928,-42,0,0,
0.76,-50,85.41,-39,0,0,
0.78,-50,84.316,-43,0,0,
0.8,-50,83.893,-45,0,0,
0.82,-50,83.496,-44,0,0,
0.84,-50,82.665,-42,0,0,
0.86,-50,82.345,-44,0,0,
0.88,-50,82.046,-46,0,0,
0.9,-50,81.509,-43,0,0,
0.92,-50,81.192,-45,0,0,
0.94,-50,80.976,-45,0,0,
0.96,-50,80.592,-44,0,0,
0.98,-50,80.419,-45,0,0,
1,-50,80.202,-45,0,0,
1.02,-50,79.892,-49,0,0,
1.04,-50,79.74,-48,0,0,
1.06,-50,79.587,-47,0,0,
1.08,-50,79.232,-45,0,0,
1.1,-50,79.083,-47,0,0,
1.12,-50,78.939,-47,0,0,
1.14,-50,78.631,-46,0,0,
1.16,-50,78.515,-48,0,0,
1.18,-50,78.315,-49,0,0,
1.2,-50,78.225,-48,0,0,
1.22,-50,78.024,-48,0,0,
1.24,-50,77.937,-48,0,0,
1.26,-50,77.763,-50,0,0,
1.28,-50,77.652,-48,0,0,
1.3,-50,77.504,-50,0,0,
1.32,-50,77.44,-48,0,0,
1.34,-50,77.314,-48,0,0,
1.36,-50,77.268,-51,0,0,
1.38,-50,77.187,-48,0,0,
1.4,-50,77.151,-48,0,0,
1.42,-50,77.073,-50,0,0,
1.44,-50,77.042,-52,0,0,
1.46,-50,76.983,-47,0,0,
1.48,-50,76.945,-48,0,0,
1.5,-50,76.89,-51,0,0,
1.52,-50,76.865,-49,0,0,
1.54,-50,76.813,-49,0,0,
1.56,-50,76.794,-51,0,0,
1.58,-50,76.758,-49,0,0,
1.6,-50,76.739,-50,0,0,
1.62,-50,76.689,-48,0,0,
1.64,-50,76.668,-50,0,0,
1.66,-50,76.632,-47,0,0,
1.68,-50,76.614,-49,0,0,
1.7,-50,76.597,-49,0,0,
1.72,-50,76.589,-50,0,0,
1.74,-50,76.558,-48,0,0,
1.76,-50,76.536,-48,0,0,
1.78,-50,76.476,-49,0,0,
1.8,-50,76.44,-48,0,0,
1.82,-50,76.349,-49,0,0,
1.84,-50,76.309,-50,0,0,
1.86,-50,76.231,-49,0,0,
1.88,-50,76.176,-51,0,0,
1.9,-50,76.089,-47,0,0,
1.92,-50,76.044,-47,0,0,
1.94,-50,75.947,-47,0,0,
1.96,-50,75.913,-47,0,0,
1.98,-50,75.858,-48,0,0,
2,-50,75.833,-47,0,0,
2.02,-50,75.761,-47,0,0,
2.04,-50,75.716,-50,0,0,
2.06,-50,75.59,-53,0,0,
2.08,-50,75.484,-51,0,0,
2.1,-50,75.305,-57,0,0,
2.12,-50,75.217,-56,0,0,
2.14,-50,75.045,-61,0,0,
2.16,-50,74.997,-63,0,0,
2.18,-50,74.975,-67,0,0,
2.2,-50,75.01,-72,0,0,
2.22,-50,75.237,-73,0,0,
2.24,-50,75.407,-81,0,0,
2.26,-50,75.901,-79,0,0,
2.28,-50,76.361,-86,0,0,
2.3,-50,77.277,-88,0,0,
2.32,-50,77.845,-91,0,0,
2.34,-50,79.47,-98,0,0,
2.36,-50,80.295,-101,0,0,
2.38,-50,82.166,-103,0,0,
2.4,-50,83.208,-110,0,0,
2.42,-50,85.907,-112,0,0,
2.44,-50,87.181,-115,0,0,
2.46,-50,89.951,-118,0,0,
2.48,-50,91.971,-121,0,0,
2.5,-50,95.273,-123,0,0,
2.52,-50,97.045,-123,0,0,
2.54,-50,101.48,-123,0,0,
2.56,-50,103.49,-126,0,0,
2.58,-50,107.71,-124,0,0,
2.6,-50,109.9,-127,0,0,
2.62,-50,115.18,-127,0,0,
2.64,-50,117.5,-127,0,0,
2.66,-50,122.21,-127,0,0,
2.68,-50,125.39,-126,0,0,
2.7,-50,130.19,-125,0,0,
2.72,-50,132.6,-126,0,0,
2.74,-50,138.24,-124,0,0,
2.76,-50,140.67,-124,0,0,
2.78,-50,145.51,-124,0,0,
2.8,-50,147.93,-121,0,0,
2.82,-50,153.53,-121,0,0,
2.84,-50,155.9,-118,0,0,
2.86,-50,160.62,-115,0,0,
2.88,-50,163.72,-113,0,0,
2.9,-50,168.32,-112,0,0,
2.92,-50,170.58,-109,0,0,
2.94,-50,175.76,-107,0,0,
2.96,-50,177.92,-105,0,0,
2.98,-50,182.12,-103,0,0,
3,-50,184.16,-98,0,0,
3.02,-50,188.73,-99,0,0,
3.04,-50,190.62,-96,0,0,
3.06,-50,194.24,-93,0,0,
3.08,-50,196.56,-90,0,0,
3.1,-50,199.87,-89,0,0,
3.12,-50,201.46,-87,0,0,
3.14,-50,204.98,-86,0,0,
3.16,-50,206.41,-82,0,0,
3.18,-50,209.08,-85,0,0,
3.2,-50,210.29,-81,0,0,
3.22,-50,212.62,-78,0,0,
3.24,-50,213.36,-79,0,0,
3.26,-50,214.34,-77,0,0,
3.28,-50,214.68,-77,0,0,
3.3,-50,214.89,-76,0,0,
3.32,-50,214.91,-78,0,0,
3.34,-50,214.92,-79,0,0,
3.36,-50,214.92,-79,0,0,
3.38,-50,214.92,-79,0,0,
3.4,-50,214.92,-80,0,0,
3.42,-50,214.92,-80,0,0,
3.44,-50,214.92,-79,0,0,
3.46,-50,214.92,-81,0,0,
3.48,-50,214.92,-82,0,0,
3.5,-50,214.92,-82,0,0,
3.52,-50,214.92,-83,0,0,
3.54,-50,214.92,-82,0,0,
3.56,-50,214.92,-84,0,0,
3.58,-50,214.92,-85,0,0,
3.6,-50,214.92,-85,0,0,
3.62,-50,214.92,-86,0,0,
3.64,-50,214.92,-87,0,0,
3.66,-50,214.92,-86,0,0,
3.68,-50,214.92,-86,0,0,
3.7,-50,214.92,-85,0,0,
3.72,-50,214.92,-82,0,0,
3.74,-50,214.92,-85,0,0,
3.76,-50,214.92,-84,0,0,
3.78,-50,214.92,-83,0,0,
3.8,-50,214.92,-82,0,0,
3.82,-50,214.92,-86,0,0,
3.84,-50,214.92,-84,0,0,
3.86,-50,214.92,-83,0,0,
3.88,-50,214.92,-83,0,0,
3.9,-50,214.92,-85,0,0,
3.92,-50,214.92,-105,0,0,
3.94,-50,214.92,-255,0,0,
3.96,-50,214.92,-255,0,0,
3.98,-50,214.92,-254,0,0,
4,-50,214.92,-253,0,0,
4.02,-50,214.92,-254,0,0,
4.04,-50,214.92,-255,0,0,
4.06,-50,214.92,-255,0,0,
4.08,-50,214.92,-255,0,0,
4.1,-50,214.92,-255,0,0,
4.12,-50,214.92,-255,0,0,
4.14,-50,214.92,-253,0,0,
4.16,-50,214.92,-254,0,0,
4.18,-50,214.92,-254,0,0,
4.2,-50,214.92,-177,0,0,
4.22,-50,214.92,-165,0,0,
4.24,-50,214.92,-160,0,0,
4.26,-50,214.92,-126,0,0,
4.28,-50,214.92,-73,0,0,
4.3,-50,214.92,-64,0,0,
4.32,-50,214.92,-66,0,0,
4.34,-50,214.92,-67,0,0,
4.36,-50,214.92,-68,0,0,
4.38,-50,214.86,-66,0,0,
4.4,-50,214.78,-68,0,0,
4.42,-50,214.53,-67,0,0,
4.44,-50,214.35,-66,0,0,
4.46,-50,213.89,-67,0,0,
4.48,-50,213.69,-63,0,0,
4.5,-50,213.4,-64,0,0,
4.52,-50,213.3,-65,0,0,
4.54,-50,213.2,-65,0,0,
4.56,-50,213.18,-64,0,0,
4.58,-50,213.17,-61,0,0,
4.6,-50,213.17,-61,0,0,
4.62,-50,213.17,-62,0,0,
4.64,-50,213.17,-59,0,0,
4.66,-50,213.17,-62,0,0,
4.68,-50,213.17,-63,0,0,
4.7,-50,213.17,-61,0,0,
4.72,-50,213.17,-60,0,0,
4.74,-50,213.17,-61,0,0,
4.76,-50,213.17,-60,0,0,
4.78,-50,213.17,-60,0,0,
4.8,-50,213.17,-61,0,0,
4.82,-50,213.17,-60,0,0,
4.84,-50,213.17,-58,0,0,
4.86,-50,213.17,-58,0,0,
4.88,-50,213.17,-59,0,0,
4.9,-50,213.17,-57,0,0,
4.92,-50,213.17,-59,0,0,
4.94,-50,213.17,-59,0,0,
4.96,-50,213.17,-60,0,0,
4.98,-50,213.17,-58,0,0,
5,-50,213.17,-58,0,0,
5.02,-50,213.17,-60,0,0,
5.04,-50,213.17,-59,0,0,
5.06,-50,213.17,-62,0,0,
5.08,-50,213.17,-62,0,0,
5.1,-50,213.17,-61,0,0,
5.12,-50,213.17,-62,0,0,
5.14,-50,213.17,-61,0,0,
5.16,-50,213.17,-61,0,0,
5.18,-50,213.17,-62,0,0,
5.2,-50,213.17,-60,0,0,
5.22,-50,213.17,-60,0,0,
5.24,-50,213.17,-58,0,0,
5.26,-50,213.17,-58,0,0,
5.28,-50,213.17,-55,0,0,
5.3,-50,213.17,-54,0,0,
5.32,-50,213.17,-50,0,0,
5.34,-50,213.17,-50,0,0,
5.36,-50,213.17,-46,0,0,
5.38,-50,213.17,-61,0,0,
5.4,-50,213.16,-140,0,0,
5.42,-50,213.13,-165,0,0,
5.44,-50,212.97,-254,0,0,
5.46,-50,212.93,-253,0,0,
5.48,-50,212.8,-254,0,0,
5.5,-50,212.79,-255,0,0,
5.52,-50,212.79,-255,0,0,
5.54,-50,212.79,-255,0,0,
5.56,-50,212.79,-253,0,0,
5.58,-50,212.79,-255,0,0,
5.6,-50,212.79,-255,0,0,
5.62,-50,212.79,-254,0,0,
5.64,-50,212.79,-158,0,0,
5.66,-50,212.79,-144,0,0,
5.68,-50,212.79,-136,0,0,
5.7,-50,212.79,-122,0,0,
5.72,-50,212.79,-85,0,0,
5.74,-50,212.79,-25,0,0,
5.76,-50,212.79,-29,0,0,
5.78,-50,212.78,-30,0,0,
5.8,-50,212.77,-29,0,0,
5.82,-50,212.71,-32,0,0,
5.84,-50,212.37,-33,0,0,
5.86,-50,211.85,-33,0,0,
5.88,-50,211.26,-33,0,0,
5.9,-50,209.53,-36,0,0,
5.92,-50,208.42,-34,0,0,
5.94,-50,206.81,-36,0,0,
5.96,-50,204.34,-34,0,0,
5.98,-50,203.18,-36,0,0,
6,-50,202.11,-38,0,0,
6.02,-50,199.98,-36,0,0,
6.04,-50,199.22,-35,0,0,
6.06,-50,198.53,-35,0,0,
6.08,-50,197.14,-33,0,0,
6.1,-50,196.61,-34,0,0,
6.12,-50,196.12,-32,0,0,
6.14,-50,195.19,-32,0,0,
6.16,-50,194.59,-30,0,0,
6.18,-50,194.14,-29,0,0,
6.2,-50,193.23,-29,0,0,
6.22,-50,192.75,-26,0,0,
6.24,-50,192.08,-27,0,0,
6.26,-50,191.02,-27,0,0,
6.28,-50,190.45,-28,0,0,
6.3,-50,189.86,-27,0,0,
6.32,-50,188.4,-28,0,0,
6.34,-50,187.73,-29,0,0,
6.36,-50,187.04,-30,0,0,
6.38,-50,185.38,-30,0,0,
6.4,-50,184.65,-31,0,0,
6.42,-50,183.92,-33,0,0,
6.44,-50,182.48,-36,0,0,
6.46,-50,181.54,-36,0,0,
6.48,-50,180.85,-35,0,0,
6.5,-50,179.53,-37,0,0,
6.52,-50,178.9,-37,0,0,
6.54,-50,178.1,-39,0,0,
6.56,-50,176.99,-41,0,0,
6.58,-50,176.48,-39,0,0,
6.6,-50,176,-42,0,0,
6.62,-50,174.96,-41,0,0,
6.64,-50,174.56,-41,0,0,
6.66,-50,174.17,-43,0,0,
6.68,-50,173.35,-46,0,0,
6.7,-50,173.03,-47,0,0,
6.72,-50,172.44,-47,0,0,
6.74,-50,172.17,-47,0,0,
6.76,-50,171.6,-52,0,0,
6.78,-50,171.38,-54,0,0,
6.8,-50,171,-59,0,0,
6.82,-50,170.8,-64,0,0,
6.84,-50,170.6,-66,0,0,
6.86,-50,170.54,-77,0,0,
6.88,-50,170.55,-82,0,0,
6.9,-50,170.78,-255,0,0,
6.92,-50,172.43,-254,0,0,
6.94,-50,178.52,-254,0,0,
6.96,-50,181.29,-253,0,0,
6.98,-50,199.58,-255,0,0,
7,-50,212.52,-255,0,0,
7.02,-50,216.61,-253,0,0,
7.04,-50,228.29,-254,0,0,
7.06,-50,238.82,-255,0,0,
7.08,-50,247.28,-254,0,0,
7.1,-50,252.8,-255,0,0,
7.12,-50,253.15,-253,0,0,
7.14,-50,253.32,-253,0,0,
7.16,-50,253.38,-253,0,0,
7.18,-50,253.4,-255,0,0,
7.2,-50,253.4,-254,0,0,
7.22,-50,253.4,-255,0,0,
7.24,-50,253.4,-253,0,0,
7.26,-50,253.4,-254,0,0,
7.28,-50,253.4,-166,0,0,
7.3,-50,253.4,-154,0,0,
7.32,-50,253.4,-133,0,0,
7.34,-50,253.4,-94,0,0,
7.36,-50,253.4,-40,0,0,
7.38,-50,253.4,-40,0,0,
7.4,-50,253.4,-42,0,0,
7.42,-50,253.38,-38,0,0,
7.44,-50,253.34,-39,0,0,
7.46,-50,253.25,-38,0,0,
7.48,-50,252.68,-39,0,0,
7.5,-50,252.22,-37,0,0,
7.52,-50,251.61,-39,0,0,
7.54,-50,249.97,-38,0,0,
7.56,-50,248.68,-37,0,0,
7.58,-50,247.67,-40,0,0,
7.6,-50,245.73,-39,0,0,
7.62,-50,244.84,-37,0,0,
7.64,-50,243.78,-39,0,0,
7.66,-50,242.44,-37,0,0,
7.68,-50,241.85,-36,0,0,
7.7,-50,241.32,-35,0,0,
7.72,-50,240.21,-33,0,0,
7.74,-50,239.78,-32,0,0,
7.76,-50,239.37,-32,0,0,
7.78,-50,238.42,-31,0,0,
7.8,-50,238.01,-28,0,0,
7.82,-50,237.58,-29,0,0,
7.84,-50,236.68,-28,0,0,
7.86,-50,236.02,-28,0,0,
7.88,-50,235.5,-29,0,0,
7.9,-50,234.38,-27,0,0,
7.92,-50,233.78,-27,0,0,
7.94,-50,232.95,-27,0,0,
7.96,-50,231.63,-26,0,0,
7.98,-50,230.95,-27,0,0,
8,-50,230.26,-28,0,0,
8.02,-50,228.62,-28,0,0,
8.04,-50,227.91,-31,0,0,
8.06,-50,227.19,-28,0,0,
8.08,-50,225.51,-32,0,0,
8.1,-50,224.79,-31,0,0,
8.12,-50,224.07,-33,0,0,
8.14,-50,222.64,-36,0,0,
8.16,-50,221.72,-34,0,0,
8.18,-50,221.04,-37,0,0,
8.2,-50,219.75,-37,0,0,
8.22,-50,219.13,-39,0,0,
8.24,-50,218.34,-38,0,0,
8.26,-50,217.24,-40,0,0,
8.28,-50,216.73,-43,0,0,
8.3,-50,216.25,-41,0,0,
8.32,-50,215.24,-45,0,0,
8.34,-50,214.84,-42,0,0,
8.36,-50,214.47,-43,0,0,
8.38,-50,213.68,-41,0,0,
8.4,-50,213.38,-43,0,0,
8.42,-50,213.1,-44,0,0,
8.44,-50,212.59,-44,0,0,
8.46,-50,212.28,-46,0,0,
8.48,-50,212.07,-46,0,0,
8.5,-50,211.66,-45,0,0,
8.52,-50,211.46,-45,0,0,
8.54,-50,211.19,-44,0,0,
8.56,-50,210.81,-46,0,0,
8.58,-50,210.64,-45,0,0,
8.6,-50,210.47,-46,0,0,
8.62,-50,210.11,-46,0,0,
8.64,-50,209.97,-47,0,0,
8.66,-50,209.83,-46,0,0,
8.68,-50,209.51,-47,0,0,
8.7,-50,209.37,-50,0,0,
8.72,-50,209.23,-46,0,0,
8.74,-50,208.96,-50,0,0,
8.76,-50,208.79,-49,0,0,
8.78,-50,208.68,-48,0,0,
8.8,-50,208.46,-45,0,0,
8.82,-50,208.37,-50,0,0,
8.84,-50,208.26,-47,0,0,
8.86,-50,208.13,-48,0,0,
8.88,-50,208.07,-47,0,0,
8.9,-50,207.95,-49,0,0,
8.92,-50,207.9,-49,0,0,
8.94,-50,207.85,-50,0,0,
8.96,-50,207.73,-49,0,0,
8.98,-50,207.64,-45,0,0,
9,-50,207.58,-43,0,0,
9.02,-50,207.44,-40,0,0,
