time,reference,position,measured_distance,error,velocity_control
0,-50,115,-122,72,117.6,
0.02,-50,115,-123,73,166.67,
0.04,-50,115,-122,72,180.27,
0.06,-50,115.03,-125,75,185.13,
0.08,-50,115.35,-123,73,178.9,
0.1,-50,115.72,-119,69,165.74,
0.12,-50,117.22,-120,70,159.03,
0.14,-50,118.44,-119,69,152.78,
0.16,-50,122.57,-115,65,142.47,
0.18,-50,124.78,-112,62,132.64,
0.2,-50,129.68,-107,57,120.3,
0.22,-50,133.09,-103,53,109.01,
0.24,-50,138.1,-100,50,100.2,
0.26,-50,140.51,-95,45,89.434,
0.28,-50,145.83,-91,41,79.658,
0.3,-50,147.97,-86,36,68.841,
0.32,-50,151.97,-88,38,69.154,
0.34,-50,153.82,-83,33,62.654,
0.36,-50,157.77,-80,30,56.347,
0.38,-50,159.31,-78,28,51.756,
0.4,-50,162.1,-76,26,47.854,
0.42,-50,163.77,-72,22,40.893,
0.44,-50,166.04,-70,20,35.883,
0.46,-50,167.08,-70,20,34.979,
0.48,-50,169.29,-66,16,29.165,
0.5,-50,170.16,-65,15,26.085,
0.52,-50,171.74,-67,17,29.051,
0.54,-50,172.47,-65,15,27.849,
0.56,-50,174,-63,13,24.674,
0.58,-50,174.58,-62,12,22.267,
0.6,-50,175.65,-60,10,18.556,
0.62,-50,176.3,-59,9,15.938,
0.64,-50,177.19,-60,10,17.068,
0.66,-50,177.61,-59,9,16.431,
0.68,-50,178.53,-59,9,16.561,
0.7,-50,178.9,-58,8,15.314,
0.72,-50,179.57,-57,7,13.437,
0.74,-50,179.88,-56,6,11.303,
0.76,-50,180.53,-54,4,7.4519,
0.78,-50,180.79,-55,5,7.8348,
0.8,-50,181.29,-55,5,8.3795,
0.82,-50,181.6,-53,3,5.6284,
0.84,-50,182.03,-53,3,4.7337,
0.86,-50,182.23,-54,4,6.2838,
0.88,-50,182.63,-53,3,5.5313,
0.9,-50,182.78,-51,1,2.1048,
0.92,-50,183.04,-51,1,0.86658,
0.94,-50,183.16,-52,2,2.2476,
0.96,-50,183.39,-51,1,1.4159,
0.98,-50,183.48,-52,2,2.8554,
1,-50,183.64,-53,3,5.2143,
