time,reference,position,measured_distance,error,velocity_control
3.36,-50,215.79,-51,0,0,
3.38,-50,215.79,-50,0,0,
3.4,-50,215.79,-50,0,0,
3.42,-50,215.79,-47,0,0,
3.44,-50,215.79,-47,0,0,
3.46,-50,215.77,-43,0,0,
3.48,-50,215.75,-43,0,0,
3.5,-50,215.72,-41,0,0,
3.52,-50,215.61,-39,0,0,
3.54,-50,215.53,-38,0,0,
3.56,-50,215.39,-37,0,0,
3.58,-50,215.09,-36,0,0,
3.6,-50,214.89,-37,0,0,
3.62,-50,214.67,-37,0,0,
3.64,-50,214.01,-34,0,0,
3.66,-50,213.68,-36,0,0,
3.68,-50,213.32,-34,0,0,
3.7,-50,212.37,-32,0,0,
3.72,-50,211.94,-33,0,0,
3.74,-50,211.5,-33,0,0,
3.76,-50,210.58,-32,0,0,
3.78,-50,209.95,-29,0,0,
3.8,-50,209.46,-29,0,0,
3.82,-50,208.47,-30,0,0,
3.84,-50,207.95,-27,0,0,
3.86,-50,207.24,-26,0,0,
3.88,-50,206.13,-28,0,0,
3.9,-50,205.55,-25,0,0,
3.92,-50,204.95,-26,0,0,
3.94,-50,203.47,-25,0,0,
3.96,-50,202.8,-25,0,0,
3.98,-50,202.12,-25,0,0,
4,-50,200.45,-25,0,0,
4.02,-50,199.71,-24,0,0,
4.04,-50,198.95,-24,0,0,
4.06,-50,197.42,-25,0,0,
4.08,-50,196.38,-27,0,0,
4.1,-50,195.6,-23,0,0,
4.12,-50,194.01,-24,0,0,
4.14,-50,193.21,-25,0,0,
4.16,-50,192.15,-23,0,0,
4.18,-50,190.54,-27,0,0,
4.2,-50,189.74,-25,0,0,
4.22,-50,188.94,-25,0,0,
4.24,-50,187.08,-26,0,0,
4.26,-50,186.28,-26,0,0,
4.28,-50,185.48,-27,0,0,
4.3,-50,183.62,-28,0,0,
4.32,-50,182.82,-27,0,0,
4.34,-50,182.04,-27,0,0,
4.36,-50,180.49,-27,0,0,
4.38,-50,179.48,-28,0,0,
4.4,-50,178.73,-29,0,0,
4.42,-50,177.26,-25,0,0,
4.44,-50,176.54,-27,0,0,
4.46,-50,175.59,-23,0,0,
4.48,-50,174.18,-28,0,0,
4.5,-50,173.49,-25,0,0,
4.52,-50,172.79,-26,0,0,
4.54,-50,171.15,-23,0,0,
4.56,-50,170.44,-24,0,0,
4.58,-50,169.72,-24,0,0,
4.6,-50,167.99,-23,0,0,
4.62,-50,167.23,-22,0,0,
4.64,-50,166.47,-21,0,0,
4.66,-50,164.91,-22,0,0,
4.68,-50,163.86,-21,0,0,
4.7,-50,163.06,-21,0,0,
4.72,-50,161.42,-20,0,0,
4.74,-50,160.59,-21,0,0,
4.76,-50,159.45,-19,0,0,
4.78,-50,157.7,-17,0,0,
4.8,-50,156.81,-20,0,0,
4.82,-50,155.92,-18,0,0,
4.84,-50,153.79,-15,0,0,
4.86,-50,152.86,-19,0,0,
4.88,-50,151.93,-16,0,0,
4.9,-50,149.71,-16,0,0,
4.92,-50,148.74,-15,0,0,
4.94,-50,147.76,-13,0,0,
4.96,-50,145.77,-13,0,0,
4.98,-50,144.41,-14,0,0,
5,-50,143.39,-15,0,0,
5.02,-50,141.29,-14,0,0,
5.04,-50,140.23,-14,0,0,
5.06,-50,138.78,-14,0,0,
5.08,-50,136.57,-14,0,0,
5.1,-50,135.44,-15,0,0,
5.12,-50,134.31,-13,0,0,
5.14,-50,131.66,-13,0,0,
5.16,-50,130.53,-12,0,0,
5.18,-50,129.39,-12,0,0,
5.2,-50,126.76,-13,0,0,
5.22,-50,125.64,-13,0,0,
5.24,-50,124.51,-13,0,0,
5.26,-50,122.24,-13,0,0,
5.28,-50,120.71,-12,0,0,
5.3,-50,119.56,-13,0,0,
5.32,-50,117.23,-13,0,0,
5.34,-50,116.06,-12,0,0,
5.36,-50,114.5,-12,0,0,
5.38,-50,112.16,-13,0,0,
5.4,-50,111,-13,0,0,
5.42,-50,109.84,-12,0,0,
5.44,-50,107.12,-12,0,0,
5.46,-50,105.96,-11,0,0,
5.48,-50,104.79,-10,0,0,
5.5,-50,102.06,-11,0,0,
5.52,-50,100.89,-11,0,0,
5.54,-50,99.717,-11,0,0,
5.56,-50,97.36,-12,0,0,
5.58,-50,95.775,-11,0,0,
5.6,-50,94.578,-10,0,0,
5.62,-50,92.161,-10,0,0,
5.64,-50,90.943,-10,0,0,
5.66,-50,89.314,-10,0,0,
5.68,-50,86.868,-10,0,0,
5.7,-50,85.644,-8,0,0,
5.72,-50,84.421,-9,0,0,
5.74,-50,81.559,-10,0,0,
5.76,-50,80.325,-10,0,0,
5.78,-50,79.085,-10,0,0,
5.8,-50,76.167,-10,0,0,
5.82,-50,74.907,-11,0,0,
5.84,-50,73.641,-15,0,0,
5.86,-50,71.102,-17,0,0,
5.88,-50,69.411,-17,0,0,
5.9,-50,68.147,-20,0,0,
5.92,-50,65.648,-22,0,0,
5.94,-50,64.421,-23,0,0,
5.96,-50,62.82,-26,0,0,
5.98,-50,60.52,-28,0,0,
6,-50,59.426,-29,0,0,
6.02,-50,58.373,-33,0,0,
6.04,-50,56.094,-32,0,0,
6.06,-50,55.195,-33,0,0,
6.08,-50,54.343,-34,0,0,
6.1,-50,52.538,-34,0,0,
6.12,-50,51.841,-36,0,0,
6.14,-50,51.189,-37,0,0,
6.16,-50,50.006,-37,0,0,
6.18,-50,49.293,-41,0,0,
6.2,-50,48.789,-42,0,0,
6.22,-50,47.844,-41,0,0,
6.24,-50,47.397,-47,0,0,
6.26,-50,46.421,-49,0,0,
6.28,-50,46.037,-55,0,0,
6.3,-50,45.346,-61,0,0,
6.32,-50,44.954,-70,0,0,
6.34,-50,44.494,-75,0,0,
6.36,-50,44.333,-86,0,0,
6.38,-50,44.191,-93,0,0,
6.4,-50,44.264,-104,0,0,
6.42,-50,44.705,-108,0,0,
6.44,-50,45.107,-119,0,0,
6.46,-50,46.604,-124,0,0,
6.48,-50,47.512,-128,0,0,
6.5,-50,49.842,-133,0,0,
6.52,-50,51.27,-135,0,0,
6.54,-50,55.271,-138,0,0,
6.56,-50,57.257,-136,0,0,
6.58,-50,61.667,-134,0,0,
6.6,-50,64.89,-130,0,0,
6.62,-50,70.059,-129,0,0,
6.64,-50,72.76,-125,0,0,
6.66,-50,79.239,-121,0,0,
